xmin=-15,xmax=15
ymin=-22.5,ymax=22.5
zmin=-12.5,zmax=12.5
-9.57, -21.89, -3.97
-9.459999, -21.89, -4.031
-9.35, -21.89, -4.072
-9.24, -21.89, -4.11
-9.129999, -21.89, -4.154
-9.02, -21.89, -4.188
-8.91, -21.89, -4.242
-8.799999, -21.89, -4.291
-8.69, -21.89, -4.352
-8.58, -21.89, -4.395
-8.469999, -21.89, -4.444
-8.36, -21.89, -4.485
-8.25, -21.89, -4.52
-8.139999, -21.89, -4.585
-8.03, -21.89, -4.633
-7.92, -21.89, -4.672
-7.81, -21.89, -4.724
-7.7, -21.89, -4.75
-7.59, -21.89, -4.818
-7.48, -21.89, -4.867
-7.37, -21.89, -4.92
-7.26, -21.89, -4.974
-7.15, -21.89, -5.004
-7.04, -21.89, -5.046
-6.929999, -21.89, -5.103
-6.82, -21.89, -5.147
-6.71, -21.89, -5.202
-6.599999, -21.89, -5.24
-6.49, -21.89, -5.299
-6.38, -21.89, -5.345
-6.27, -21.89, -5.398
-6.16, -21.89, -5.44
-6.05, -21.89, -5.488
-5.94, -21.89, -5.543
-5.83, -21.89, -5.582
-5.719999, -21.89, -5.638
-5.61, -21.89, -5.683
-5.5, -21.89, -5.73
-5.389999, -21.89, -5.78
-5.28, -21.89, -5.832
-5.17, -21.89, -5.885
-5.059999, -21.89, -5.93
-4.95, -21.89, -5.984
-4.84, -21.89, -6.034
-4.73, -21.89, -6.079
-4.62, -21.89, -6.138
-4.51, -21.89, -6.189
-4.4, -21.89, -6.244
-4.29, -21.89, -6.289001
-4.179999, -21.89, -6.331
-4.07, -21.89, -6.396
-3.96, -21.89, -6.443
-3.849999, -21.89, -6.492
-3.74, -21.89, -6.535
-3.63, -21.89, -6.606
-3.52, -21.89, -6.647
-3.41, -21.89, -6.693
-3.3, -21.89, -6.757
-3.19, -21.89, -6.805
-3.08, -21.89, -6.869
-1.21, -21.89, -7.699
-1.099999, -21.89, -7.759
-0.9899998, -21.89, -7.812
-0.8800001, -21.89, -7.869
-0.7699995, -21.89, -7.895
-0.6599998, -21.89, -7.959001
-0.5500002, -21.89, -8.012
-0.4399996, -21.89, -8.062
-0.3299999, -21.89, -8.113
-0.2199993, -21.89, -8.172
-0.1099997, -21.89, -8.227
0, -21.89, -8.273001
0.1100006, -21.89, -8.321
0.2200003, -21.89, -8.370001
0.3299999, -21.89, -8.421
0.4400005, -21.89, -8.477
0.5500002, -21.89, -8.534
0.6599998, -21.89, -8.578
0.7700005, -21.89, -8.635
0.8800001, -21.89, -8.698
0.9899998, -21.89, -8.739
1.1, -21.89, -8.789001
1.210001, -21.89, -8.864
1.32, -21.89, -8.911
1.43, -21.89, -8.966001
1.540001, -21.89, -9.029
1.65, -21.89, -9.083
1.76, -21.89, -9.136001
1.870001, -21.89, -9.186001
1.98, -21.89, -9.239
2.09, -21.89, -9.293
2.200001, -21.89, -9.346001
2.309999, -21.89, -9.398001
2.42, -21.89, -9.473001
2.530001, -21.89, -9.535001
2.639999, -21.89, -9.564
2.75, -21.89, -9.615001
2.860001, -21.89, -9.697001
2.969999, -21.89, -9.735001
3.08, -21.89, -9.791
3.190001, -21.89, -9.856001
3.300001, -21.89, -9.907001
3.41, -21.89, -9.951
3.52, -21.89, -10.011
3.630001, -21.89, -10.082
3.74, -21.89, -10.123
3.85, -21.89, -10.165
3.960001, -21.89, -10.237
4.07, -21.89, -10.285
4.18, -21.89, -10.336
4.290001, -21.89, -10.392
4.4, -21.89, -10.442
4.51, -21.89, -10.495
4.620001, -21.89, -10.556
4.73, -21.89, -10.616
4.84, -21.89, -10.664
4.950001, -21.89, -10.722
5.059999, -21.89, -10.766
5.17, -21.89, -10.832
5.280001, -21.89, -10.882
5.389999, -21.89, -10.931
5.5, -21.89, -10.993
5.610001, -21.89, -11.041
5.719999, -21.89, -11.093
5.83, -21.89, -11.152
5.940001, -21.89, -11.212
6.049999, -21.89, -11.277
6.16, -21.89, -11.322
6.27, -21.89, -11.378
6.380001, -21.89, -11.431
6.49, -21.89, -11.506
6.6, -21.89, -11.541
6.710001, -21.89, -11.601
6.82, -21.89, -11.666
6.93, -21.89, -11.717
7.040001, -21.89, -11.77
7.15, -21.89, -11.835
7.26, -21.89, -11.893
7.370001, -21.89, -11.935
7.48, -21.89, -11.994
7.59, -21.89, -12.054
7.700001, -21.89, -12.119
7.809999, -21.89, -12.173
7.92, -21.89, -12.222
8.030001, -21.89, -12.268
8.139999, -21.89, -12.315
8.25, -21.89, -12.375
8.360001, -21.89, -12.422
8.469999, -21.89, -12.491
-10.12, -21.78, -3.672
-10.01, -21.78, -3.78
-9.9, -21.78, -3.808
-9.79, -21.78, -3.868
-9.68, -21.78, -3.898
-9.57, -21.78, -3.948
-9.459999, -21.78, -4.01
-9.35, -21.78, -4.056
-9.24, -21.78, -4.089
-9.129999, -21.78, -4.151
-9.02, -21.78, -4.196
-8.91, -21.78, -4.244
-8.799999, -21.78, -4.302
-8.69, -21.78, -4.341
-8.58, -21.78, -4.386
-8.469999, -21.78, -4.441
-8.36, -21.78, -4.465
-8.25, -21.78, -4.524
-8.139999, -21.78, -4.578
-8.03, -21.78, -4.617
-7.92, -21.78, -4.67
-7.81, -21.78, -4.714
-7.7, -21.78, -4.767
-7.59, -21.78, -4.807
-7.48, -21.78, -4.849
-7.37, -21.78, -4.916
-7.26, -21.78, -4.964
-7.15, -21.78, -5.001
-7.04, -21.78, -5.044
-6.929999, -21.78, -5.094
-6.82, -21.78, -5.141
-6.71, -21.78, -5.19
-6.599999, -21.78, -5.238
-6.49, -21.78, -5.296
-6.38, -21.78, -5.336
-6.27, -21.78, -5.377
-6.16, -21.78, -5.425
-6.05, -21.78, -5.482
-5.94, -21.78, -5.525
-5.83, -21.78, -5.565
-5.719999, -21.78, -5.627
-5.61, -21.78, -5.678
-5.5, -21.78, -5.737
-5.389999, -21.78, -5.786
-5.28, -21.78, -5.831
-5.17, -21.78, -5.883
-5.059999, -21.78, -5.931
-4.95, -21.78, -5.977
-4.84, -21.78, -6.029
-4.73, -21.78, -6.081
-4.62, -21.78, -6.13
-4.51, -21.78, -6.181
